abate, บรรเทา
abbreviation, อักษรย่อ
abdicate, ละเลยหน้าที่
abide, พักอาศัย
ability, พรสวรรค์
able, เก่ง
abode, ที่พัก
abolish, ล้มเลิก
abound, หนาแน่น
about, ประมาณ
above, ข้างบน
abrasion, ถลอก
abreast, เคียงข้าง
abroad, แพร่หลาย
absence, ไม่อยู่
absent, ปราศจาก
absolute, แท้จริง
absolutely, อย่างสิ้นเชิง
absolve, อภัยโทษ
absorb, ซึมซับ
absorbed, ที่หมกมุ่นกับ
abstract, ที่เป็นนามธรรม
abundance, ความสมบูรณ์
abundant, มากมาย
abuse, กระทำทารุณ
accelerate, เร่งความเร็ว
accent, สำเนียง
accentuate, ทำให้เด่น
accept, เห็นด้วย
acceptance, ตอบรับ
access, ทางเข้า
accessory, ส่วนเพิ่มเติม
accident, โอกาส
accidentally, โดยบังเอิญ
acclimatize, ปรับตัวให้ชินกับอากาศ
accommodate, ปรับตัว
babyhood, วัยทารก
back door,  วิธีลับ
back order, รายการสั่งซื้อล่วงหน้าที่
back up, กีดขวาง
background, ภูมิหลัง
backlash, การกระตุก
backup, สนับสนุน
bad, เลว
badge, เหรียญ
baffle, ทำให้สับสน
bag, ความมั่งคั่ง
baggage, กระเป๋าเดินทาง
balance, ทำให้สมดุล
band, ข้อผูกพัน
bandage, ผ้าพันแผล
banish, เนรเทศ
bank note, ธนบัตร
bankrupt, ล้มละลาย
bankruptcy, ความล้มเหลว
banquet, งานเลี้ยง
bar, รั้ว
barbed wire, ลวดหนาม
barely, น้อยมาก
bargain, การต่อรอง
barricade, สิ่งกีดขวาง
barrier, อุปสรรค
barrister, ทนายความ
barter, ต่อรองการค้า
base, เลวทราม
basis, มาตรฐาน
bear, หมี
bearer, ผู้แบก
bearing, ความอดทน
cab, รถม้า
cabinet, คณะรัฐมนตรี
calculate, คำนวณ
calendar, ปฏิทิน
calibrate, ตรวจตา
calm, เงียบ
calumny, การกล่าวร้าย
campaign, การต่อสู้
cancel, ยกเลิก
candid, ซื่อสัตย์
candidate, ผู้สมัครรับเลือกตั้ง
canvass, หาเสียง
capability, ความสามารถ
capacity, ความจุ
capital, เมืองหลวง
capitalize, เสนอทุน
caption, หัวข้อ
capture, จับกุม
career, อาชีพ
careful, ระมัดระวัง
carelessness, ประมาท
cargo, สินค้า
caring, ที่ห่วงใยผู้อื่น
carpenter, ช่างไม้
carpet, พรม
carriage, การขนส่ง
carrier, ผู้ส่ง
carry, การขนส่ง
carry out, ทำให้สำเร็จ
cart, เกวียน
case, โรค
daily, รายวัน
damage, การทำร้าย
dampness, เปียก
danger, อันตราย
dare, ท้าทาย
daring, ความกล้า
dark, ลึกลับ
dash, ชน
data, สถิติ
daze, ทำให้งงงวย
dazzling, แวววาว
deal, ข้อตกลง
deal in, ค้าขาย
deal with, เป็นลูกค้าของ
dealer, นักธุรกิจ
dealing, ความสัมพันธ์
debate, วินิจฉัย
debris, ซากสลักหักพัง
debt, หนี้
debut, วางตลาด
decade, ทศวรรษ
deceitful, หลอกลวง
decide, ชี้ขาด
decision, คำพิพากษา
decisive, แน่วแน่
decisiveness, ความเด็ดขาด
declaration, แถลงการณ์
declare, ประกาศ
decline, การถดถอย
decorate, ตกแต่ง
decrease, การตาย
decree, ข้อบังคับ
dedicate, อุทิศตัว
deduct, ทำให้ลดลง
deed, กรรม
eager, กระตือรือร้น
earn, ได้รับ
earnest, จริงจัง
earnings, ผลกำไร
ebb, น้ำลด
echo, การเลียนแบบ
economic, เกี่ยวกับเศรษฐกิจ
economize, อดออม
economy, เศรษฐกิจ
edge, ขอบ
edit, แก้ไข
editor, บรรณาธิการ
educate, สั่งสอน
education, การศึกษา
effect, ผลกระทบ
effective, มีผล
effort, ความพยายาม
effusive, ซึ่งไหลออก
either, เช่นเดียวกัน
eject, ขับไล่
elaborate, ซับซ้อน
elastic, ยืดหยุ่น
elder, ผู้อาวุโส
elegant, งดงาม
element, องค์ประกอบ
elementary, ปฐมภูมิ
elevation, การเลื่อนฐานะ
fabric, สิ่งทอ
fabrication, การคิดค้น
fabulous, เหลือเชื่อ
facilitate, ทำให้ง่ายขึ้น
facilitator, ผู้ช่วยให้สะดวกขึ้น
facing, การเย็บขอบ
factor, ปัจจัย
factory, โรงงาน
faculty, คณะ
fade, จางลง
fail, ล้มเหลว
faint, เบาบาง
fair, ยุติธรรม
faith, ความศรัทธา
fake, เสแสร้ง
falsehood, การโกหก
falter, ลังเล
fame, ข่าวลือ
familiar, รู้จัก
famous, มีชื่อเสียง
fantasize, ความเพ้อฝัน
fare, ค่าโดยสาร
farewell, การกล่าวลา
gadget, อุปกรณ์
gain, ได้รับ
gainful, เป็นประโยชน์
gamble, เสี่ยงโชค
gap, หุบเขาลึก
garb, เครื่องแต่งตัว
garbage, ขยะ
garish, หรูหรา
garment, เสื้อผ้า
garner, รวบรวม
gate, ทางเข้าออก
gather, รวบรวม
gauge, ประเมิน
general, ทั่วไป
generate, ผลิต
generation, การกำเนิด
generous, เอื้อเฟื้อ
gently, อ่อนโยน
genuine, ของแท้
germane, ที่สัมพันธ์กัน
get well, หายป่วย
gifted, มีพรสวรรค์
gist, แก่นสาร
give up, ยกเลิก
glance, แอบดู
glide, ลื่นไหล
habit, ความเคยชิน
hallmark, ลักษณะที่เด่น
halt, ยับยั้ง
handbook, ตำราคู่มือ
handle, จัดการ
harass, ก่อกวน
hard, ลำบาก
harm, อันตราย
harmonize, กลมกลืนกัน
harmony, การประสานเสียง
harness, บังเหียน
harsh, หยาบ
harvest, ฤดูเก็บเกี่ยว
haste, ความเร่งรีบ
haughty, ถือตัว
hawk, เหยี่ยว
hazard, ความเสี่ยง
haze, หมอก
headquarters, กองบัญชาการ
headway, ความคืบหน้า 
